iter	Passed	Remaining
562	1786	1387
563	1789	1383
564	1792	1380
565	1795	1376
566	1797	1372
567	1800	1369
568	1803	1365
569	1805	1362
570	1808	1358
571	1811	1355
572	1814	1351
573	1816	1348
574	1819	1344
575	1822	1341
576	1824	1337
577	1827	1334
578	1830	1330
579	1832	1327
580	1835	1323
581	1838	1320
582	1840	1316
583	1843	1313
584	1846	1309
585	1848	1306
586	1851	1302
587	1854	1299
588	1857	1295
589	1860	1292
590	1862	1289
591	1865	1285
592	1867	1282
593	1870	1278
594	1873	1275
595	1875	1271
596	1878	1268
597	1881	1264
598	1884	1261
599	1886	1257
600	1889	1254
601	1892	1251
602	1894	1247
603	1897	1244
604	1900	1240
605	1902	1237
606	1905	1233
607	1908	1230
608	1910	1226
609	1913	1223
610	1916	1219
611	1918	1216
612	1921	1212
613	1924	1209
614	1926	1206
615	1929	1202
616	1932	1199
617	1934	1195
618	1937	1192
619	1940	1189
620	1943	1185
621	1945	1182
622	1948	1179
623	1951	1175
624	1953	1172
625	1956	1168
626	1959	1165
627	1961	1162
628	1964	1158
629	1967	1155
630	1969	1152
631	1972	1148
632	1975	1145
633	1978	1142
634	1981	1138
635	1984	1135
636	1986	1132
637	1989	1128
638	1992	1125
639	1994	1122
640	1997	1118
641	2000	1115
642	2002	1111
643	2005	1108
644	2007	1105
645	2010	1101
646	2013	1098
647	2015	1095
648	2018	1091
649	2021	1088
650	2024	1085
651	2026	1081
652	2029	1078
653	2031	1074
654	2034	1071
655	2037	1068
656	2039	1064
657	2042	1061
658	2045	1058
659	2047	1054
660	2050	1051
661	2053	1048
662	2055	1045
663	2058	1041
664	2061	1038
665	2063	1035
666	2066	1031
667	2069	1028
668	2072	1025
669	2074	1021
670	2077	1018
671	2080	1015
672	2082	1012
673	2085	1008
674	2088	1005
675	2091	1002
676	2093	998
677	2096	995
678	2098	992
679	2101	988
680	2104	985
681	2107	982
682	2110	979
683	2112	976
684	2115	972
685	2118	969
686	2120	966
687	2123	963
688	2126	959
689	2128	956
690	2131	953
691	2134	949
692	2136	946
693	2139	943
694	2142	940
695	2144	936
696	2147	933
697	2150	930
698	2153	927
699	2156	924
700	2159	920
701	2161	917
702	2164	914
703	2167	911
704	2170	908
705	2172	904
706	2175	901
707	2178	898
708	2181	895
709	2184	892
710	2186	888
711	2189	885
712	2192	882
713	2195	879
714	2197	875
715	2200	872
716	2203	869
717	2205	866
718	2208	863
719	2211	859
720	2213	856
721	2216	853
722	2219	850
723	2221	846
724	2224	843
725	2227	840
726	2229	837
727	2232	834
728	2234	830
729	2237	827
730	2240	824
731	2242	821
732	2245	817
733	2248	814
734	2250	811
735	2253	808
736	2256	805
737	2258	801
738	2261	798
739	2264	795
740	2266	792
741	2269	789
742	2272	785
743	2275	782
744	2277	779
745	2280	776
